race,PRES16D,PRES16R,PRES16None
WVAP,0.1747 (0.1531-0.1982),0.3038 (0.2943-0.3106),0.5215 (0.498-0.5429)
OVAP,0.3139 (0.2229-0.409),0.0356 (0.0115-0.0729),0.6506 (0.5577-0.7438)
