race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0294 (0.0259-0.0323),0.0051 (0.003-0.0072),0.0209 (0.0176-0.0243),0.9446 (0.9398-0.9501)
OVAP,0.018 (0.0061-0.0344),0.0214 (0.0106-0.0342),0.0212 (0.0056-0.038),0.9393 (0.9124-0.9614)
