race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0402 (0.0346-0.0456),0.0007 (0.0003-0.0012),0.9591 (0.9537-0.9649)
OVAP,0.042 (0.0189-0.0679),0.012 (0.0086-0.0149),0.946 (0.9195-0.9693)
