race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.029 (0.0248-0.0337),0.0027 (0.0016-0.0041),0.0075 (0.0053-0.0099),0.0019 (0.0009-0.0033),0.0087 (0.0064-0.0113),0.95 (0.9439-0.9556)
OVAP,0.0437 (0.0249-0.0631),0.0125 (0.0053-0.0199),0.0262 (0.0148-0.0387),0.017 (0.0094-0.024),0.0299 (0.0178-0.0428),0.8708 (0.8439-0.8988)
