race,PRES16D,PRES16R,PRES16None
WVAP,0.1776 (0.1592-0.1973),0.291 (0.2794-0.3013),0.5314 (0.5108-0.5524)
BVAP,0.2522 (0.0865-0.4224),0.0539 (0.0172-0.1161),0.6938 (0.5135-0.8584)
HVAP,0.2182 (0.0704-0.4416),0.0716 (0.0179-0.1503),0.7103 (0.4714-0.8643)
OVAP,0.4405 (0.1932-0.6856),0.1232 (0.0381-0.2353),0.4362 (0.2079-0.6708)
