race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.2876 (0.2056-0.3636),0.7124 (0.6364-0.7944),0.3447 (0.3082-0.3856)
OVAP,0.9494 (0.8942-0.9855),0.0506 (0.0145-0.1058),0.3541 (0.3057-0.4012)
