race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.1092 (0.0488-0.1835),0.8908 (0.8165-0.9512),0.3387 (0.3109-0.3717)
OVAP,0.9486 (0.8912-0.9847),0.0514 (0.0153-0.1088),0.3637 (0.3228-0.3976)
