race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4649 (0.3645-0.5523),0.5351 (0.4477-0.6355),0.3047 (0.2526-0.3533)
BVAP,0.956 (0.9042-0.9886),0.044 (0.0114-0.0958),0.466 (0.3894-0.5407)
HVAP,0.7726 (0.4786-0.94),0.2274 (0.06-0.5214),0.557 (0.2665-0.8288)
OVAP,0.8127 (0.5998-0.9391),0.1873 (0.0609-0.4002),0.6807 (0.4281-0.8972)
