race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4087 (0.3182-0.4902),0.5913 (0.5098-0.6818),0.3209 (0.2762-0.3686)
OVAP,0.9656 (0.9216-0.9908),0.0344 (0.0092-0.0784),0.4856 (0.4276-0.5414)
