race,AG18D,AG18R,AG18Turnout
WVAP,0.3271 (0.2237-0.4304),0.6729 (0.5696-0.7763),0.2919 (0.2482-0.3362)
BVAP,0.9557 (0.9018-0.9869),0.0443 (0.0131-0.0982),0.4967 (0.4204-0.566)
HVAP,0.738 (0.4061-0.929),0.262 (0.071-0.5939),0.5677 (0.2623-0.8562)
OVAP,0.8016 (0.5903-0.9415),0.1984 (0.0585-0.4097),0.6642 (0.3977-0.886)
