race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.8213 (0.6259-0.9472),0.1787 (0.0528-0.3741),0.0308 (0.0164-0.0489)
OVAP,0.5655 (0.4628-0.6424),0.4345 (0.3576-0.5372),0.0917 (0.0718-0.1096)
