race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3127 (0.1801-0.4447),0.519 (0.4102-0.6331),0.1683 (0.0875-0.2386),0.0796 (0.0642-0.0966)
OVAP,0.8787 (0.8023-0.9439),0.0597 (0.0179-0.1172),0.0615 (0.0199-0.1184),0.1395 (0.1186-0.1594)
