race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.2499 (0.1685-0.3318),0.7501 (0.6682-0.8315),0.3706 (0.3313-0.4136)
OVAP,0.9566 (0.9116-0.987),0.0434 (0.013-0.0884),0.4555 (0.4058-0.5019)
