race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.0857 (0.038-0.1492),0.9143 (0.8508-0.962),0.3718 (0.3249-0.4181)
OVAP,0.8562 (0.7719-0.9359),0.1438 (0.0641-0.2281),0.4387 (0.3909-0.4883)
