race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.221 (0.1305-0.3102),0.779 (0.6898-0.8695),0.3596 (0.3223-0.4023)
OVAP,0.9622 (0.9143-0.99),0.0378 (0.01-0.0857),0.4672 (0.4169-0.5134)
