race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.3322 (0.168-0.5151),0.1034 (0.0401-0.1742),0.1453 (0.0569-0.251),0.0779 (0.0243-0.1522),0.3411 (0.1583-0.521),0.0402 (0.0276-0.0542)
OVAP,0.465 (0.4136-0.5185),0.0243 (0.0086-0.0432),0.054 (0.0278-0.0798),0.0272 (0.0102-0.0421),0.4296 (0.3762-0.4819),0.1744 (0.1576-0.1906)
