race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3338 (0.2588-0.4053),0.6662 (0.5947-0.7412),0.335 (0.3001-0.3711)
OVAP,0.9744 (0.9428-0.9927),0.0256 (0.0073-0.0572),0.5034 (0.4591-0.5473)
