race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.309 (0.2043-0.4164),0.691 (0.5836-0.7957),0.3026 (0.2612-0.3514)
OVAP,0.9665 (0.9247-0.9904),0.0335 (0.0096-0.0753),0.497 (0.4382-0.5493)
