race,AG18D,AG18R,AG18Turnout
WVAP,0.2693 (0.1686-0.3668),0.7307 (0.6332-0.8314),0.3102 (0.269-0.354)
OVAP,0.9657 (0.9257-0.9903),0.0343 (0.0097-0.0743),0.5069 (0.4542-0.5605)
