race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.2833 (0.2192-0.3423),0.7167 (0.6577-0.7808),0.4854 (0.4437-0.5288)
OVAP,0.9724 (0.9414-0.992),0.0276 (0.008-0.0586),0.579 (0.5273-0.6297)
