race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.399 (0.2849-0.5169),0.0967 (0.0304-0.1827),0.5043 (0.3856-0.6222),0.0825 (0.0659-0.1007)
OVAP,0.2506 (0.1706-0.3348),0.47 (0.3997-0.551),0.2794 (0.1951-0.3659),0.1289 (0.1097-0.1485)
