race,AG14D,AG14R,AG14Turnout
WVAP,0.2242 (0.138-0.3072),0.7758 (0.6928-0.862),0.3125 (0.2776-0.351)
OVAP,0.9546 (0.9015-0.9884),0.0454 (0.0116-0.0985),0.3602 (0.3134-0.4054)
