race,AG14D,AG14R,AG14Turnout
WVAP,0.2527 (0.1625-0.3464),0.7473 (0.6536-0.8375),0.2943 (0.2574-0.3335)
BVAP,0.9486 (0.8854-0.9868),0.0514 (0.0132-0.1146),0.3389 (0.2643-0.4092)
HVAP,0.7195 (0.4323-0.9135),0.2805 (0.0865-0.5677),0.4602 (0.2131-0.7307)
OVAP,0.8004 (0.552-0.9438),0.1996 (0.0562-0.448),0.5559 (0.2801-0.8355)
