race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.7761 (0.594-0.9239),0.2239 (0.0761-0.406),0.0692 (0.0474-0.0931)
OVAP,0.3047 (0.2299-0.3717),0.6953 (0.6283-0.7701),0.2425 (0.2153-0.2685)
