,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
622,Anne Arundel,1854,Anne Arundel Precinct 03-022,1472,57,47,34,382,1854,1,0.7939590075512406,0.20604099244875945,1716,0.030744336569579287,0.02535059331175836,0.018338727076591153,0.9255663430420712
623,Anne Arundel,2079,Anne Arundel Precinct 03-017,1958,25,50,40,121,2079,1,0.9417989417989417,0.0582010582010582,1964,0.012025012025012025,0.02405002405002405,0.01924001924001924,0.9446849446849447
624,Anne Arundel,1898,Anne Arundel Precinct 05-011,1645,35,43,38,253,1898,1,0.8667017913593256,0.1332982086406744,1782,0.0184404636459431,0.022655426765015807,0.020021074815595362,0.9388830347734457
625,Anne Arundel,2039,Anne Arundel Precinct 05-004,1832,32,41,46,207,2039,1,0.8984796468857283,0.1015203531142717,1920,0.01569396763119176,0.020107896027464444,0.022560078469838155,0.9416380578715057
626,Anne Arundel,1847,Anne Arundel Precinct 05-005,1625,60,46,31,222,1847,1,0.8798050893340552,0.12019491066594477,1710,0.03248511099079589,0.02490525175961018,0.016783974011911208,0.9258256632376828
627,Anne Arundel,1366,Anne Arundel Precinct 05-023,1291,38,34,30,75,1366,1,0.945095168374817,0.05490483162518302,1264,0.027818448023426062,0.024890190336749635,0.021961932650073207,0.9253294289897511
628,Anne Arundel,1716,Anne Arundel Precinct 05-003,1503,50,45,30,213,1716,1,0.8758741258741258,0.12412587412587413,1591,0.029137529137529136,0.026223776223776224,0.017482517482517484,0.9271561771561772
629,Anne Arundel,2381,Anne Arundel Precinct 05-026,1899,101,59,92,482,2381,1,0.7975640487190256,0.20243595128097439,2129,0.04241915161696766,0.024779504409911803,0.03863922721545569,0.8941621167576649
630,Anne Arundel,2632,Anne Arundel Precinct 05-021,2196,57,47,59,436,2632,1,0.8343465045592705,0.1656534954407295,2469,0.021656534954407294,0.017857142857142856,0.022416413373860182,0.9380699088145896
631,Anne Arundel,1760,Anne Arundel Precinct 06-030,1534,83,37,62,226,1760,1,0.8715909090909091,0.12840909090909092,1578,0.04715909090909091,0.021022727272727273,0.035227272727272725,0.8965909090909091
632,Anne Arundel,1526,Anne Arundel Precinct 06-025,1416,72,56,39,110,1526,1,0.927916120576671,0.07208387942332896,1359,0.047182175622542594,0.03669724770642202,0.025557011795543906,0.8905635648754915
633,Anne Arundel,1818,Anne Arundel Precinct 05-020,1541,56,37,44,277,1818,1,0.8476347634763476,0.15236523652365236,1681,0.030803080308030802,0.02035203520352035,0.0242024202420242,0.9246424642464246
634,Anne Arundel,1940,Anne Arundel Precinct 05-028,1748,9,12,13,192,1940,1,0.9010309278350516,0.09896907216494845,1906,0.004639175257731959,0.006185567010309278,0.006701030927835051,0.9824742268041237
635,Anne Arundel,1531,Anne Arundel Precinct 05-027,1364,51,30,25,167,1531,1,0.8909209666884389,0.10907903331156107,1425,0.033311561071195296,0.019595035924232528,0.016329196603527107,0.9307642064010451
636,Anne Arundel,1702,Anne Arundel Precinct 05-013,1627,44,44,42,75,1702,1,0.9559341950646298,0.04406580493537015,1572,0.025851938895417155,0.025851938895417155,0.024676850763807285,0.9236192714453584
637,Anne Arundel,2718,Anne Arundel Precinct 05-018,2265,50,38,66,453,2718,1,0.8333333333333334,0.16666666666666666,2564,0.01839587932303164,0.013980868285504048,0.024282560706401765,0.9433406916850625
638,Anne Arundel,2136,Anne Arundel Precinct 05-022,1936,52,50,41,200,2136,1,0.9063670411985019,0.09363295880149813,1993,0.024344569288389514,0.023408239700374533,0.019194756554307114,0.9330524344569289
639,Anne Arundel,2178,Anne Arundel Precinct 05-001,1856,65,70,52,322,2178,1,0.852157943067034,0.14784205693296604,1991,0.029843893480257115,0.03213957759412305,0.023875114784205693,0.9141414141414141
640,Anne Arundel,2073,Anne Arundel Precinct 05-017,1891,57,68,58,182,2073,1,0.9122045344910757,0.08779546550892427,1890,0.027496382054992764,0.03280270139893873,0.027978774722624215,0.9117221418234442
641,Anne Arundel,2525,Anne Arundel Precinct 05-002,2062,91,45,46,463,2525,1,0.8166336633663366,0.18336633663366336,2343,0.03603960396039604,0.01782178217821782,0.018217821782178217,0.927920792079208
654,Anne Arundel,1620,Anne Arundel Precinct 07-026,1426,36,45,40,194,1620,1,0.8802469135802469,0.11975308641975309,1499,0.022222222222222223,0.027777777777777776,0.024691358024691357,0.9253086419753086
655,Anne Arundel,2128,Anne Arundel Precinct 04-010,1684,3,2,1,444,2128,1,0.7913533834586466,0.20864661654135339,2122,0.0014097744360902255,0.0009398496240601503,0.00046992481203007516,0.9971804511278195
656,Anne Arundel,2733,Anne Arundel Precinct 04-016,2032,41,23,16,701,2733,1,0.743505305525064,0.25649469447493595,2653,0.01500182949140139,0.008415660446395901,0.005854372484449323,0.9707281375777533
657,Anne Arundel,1530,Anne Arundel Precinct 07-014,1357,46,26,23,173,1530,1,0.8869281045751634,0.1130718954248366,1435,0.030065359477124184,0.01699346405228758,0.015032679738562092,0.9379084967320261
658,Anne Arundel,2243,Anne Arundel Precinct 07-016,1754,78,40,33,489,2243,1,0.7819884083816317,0.21801159161836825,2092,0.034774855104770394,0.017833259028087384,0.014712438698172091,0.9326794471689701
659,Anne Arundel,1864,Anne Arundel Precinct 07-015,1650,45,56,39,214,1864,1,0.8851931330472103,0.1148068669527897,1724,0.024141630901287552,0.030042918454935622,0.02092274678111588,0.924892703862661
660,Anne Arundel,2124,Anne Arundel Precinct 07-018,1735,53,26,39,389,2124,1,0.8168549905838042,0.18314500941619585,2006,0.02495291902071563,0.01224105461393597,0.018361581920903956,0.9444444444444444
661,Anne Arundel,3122,Anne Arundel Precinct 04-023,2305,69,25,18,817,3122,1,0.7383087764253684,0.26169122357463165,3010,0.022101217168481742,0.008007687379884689,0.005765534913516977,0.9641255605381166
662,Anne Arundel,2399,Anne Arundel Precinct 04-022,1498,48,17,33,901,2399,1,0.6244268445185494,0.3755731554814506,2301,0.020008336807002917,0.0070862859524802,0.013755731554814505,0.9591496456857024
663,Anne Arundel,1929,Anne Arundel Precinct 04-008,1617,59,35,30,312,1929,1,0.838258164852255,0.16174183514774496,1805,0.030585795749092794,0.018144116122343183,0.015552099533437015,0.935717988595127
