race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0329 (0.0215-0.0444),0.008 (0.0024-0.0157),0.0416 (0.0286-0.0543),0.9175 (0.8993-0.9341)
OVAP,0.0324 (0.0204-0.0461),0.0603 (0.051-0.0678),0.0361 (0.0233-0.0508),0.8711 (0.8515-0.8903)
