race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0124 (0.005-0.0225),0.0015 (0.0006-0.0027),0.0027 (0.001-0.0051),0.0011 (0.0004-0.0022),0.0111 (0.0045-0.0204),0.9713 (0.9585-0.9822)
BVAP,0.0654 (0.0448-0.0874),0.0022 (0.0007-0.0044),0.0038 (0.0012-0.0075),0.0016 (0.0006-0.0032),0.051 (0.032-0.0726),0.876 (0.8471-0.902)
HVAP,0.1159 (0.0283-0.2298),0.0269 (0.0066-0.05),0.0429 (0.0148-0.0825),0.0311 (0.009-0.056),0.118 (0.034-0.228),0.6652 (0.5217-0.7972)
OVAP,0.1713 (0.0689-0.299),0.026 (0.0112-0.0421),0.0514 (0.0194-0.081),0.0249 (0.0097-0.0418),0.226 (0.1091-0.3571),0.5004 (0.3411-0.6588)
