race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0252 (0.012-0.0409),0.041 (0.0332-0.0469),0.0134 (0.0065-0.0193),0.9204 (0.9034-0.9358)
OVAP,0.1225 (0.1026-0.1405),0.0084 (0.0024-0.0169),0.0086 (0.0026-0.017),0.8605 (0.8406-0.8814)
