race,GOV14D,GOV14R,GOV14None
WVAP,0.0374 (0.0155-0.0675),0.3013 (0.2798-0.3155),0.6613 (0.6283-0.6891)
OVAP,0.3449 (0.3058-0.375),0.0188 (0.0054-0.0409),0.6363 (0.6024-0.6772)
