race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.045 (0.0287-0.0625),0.0141 (0.0041-0.0278),0.9409 (0.9197-0.96)
BVAP,0.0398 (0.0164-0.0697),0.1479 (0.1118-0.1857),0.8123 (0.7676-0.8568)
HVAP,0.1945 (0.0721-0.3684),0.238 (0.0729-0.4625),0.5674 (0.3218-0.7772)
OVAP,0.2923 (0.1096-0.4588),0.267 (0.0856-0.4666),0.4407 (0.2261-0.6781)
