race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0255 (0.012-0.0422),0.0054 (0.0015-0.0119),0.9692 (0.9511-0.9836)
OVAP,0.0522 (0.0343-0.0693),0.0395 (0.0331-0.0438),0.9083 (0.8904-0.9282)
