race,COMP14D,COMP14R,COMP14None
WVAP,0.1035 (0.0658-0.1435),0.2199 (0.1979-0.2392),0.6767 (0.6354-0.7161)
BVAP,0.3145 (0.2498-0.3842),0.0196 (0.0057-0.0447),0.6659 (0.5961-0.7323)
HVAP,0.3523 (0.1304-0.632),0.1217 (0.0413-0.2509),0.526 (0.2315-0.7667)
OVAP,0.4286 (0.158-0.69),0.1232 (0.0405-0.2558),0.4481 (0.1922-0.7199)
