race,AG18D,AG18R,AG18None
WVAP,0.0845 (0.0461-0.1283),0.2257 (0.2081-0.2371),0.6898 (0.646-0.731)
OVAP,0.4894 (0.4347-0.5397),0.0174 (0.0048-0.0385),0.4931 (0.4395-0.5458)
