race,AG14D,AG14R,AG14None
WVAP,0.0708 (0.039-0.107),0.2417 (0.2229-0.2542),0.6875 (0.649-0.7224)
OVAP,0.3438 (0.298-0.3867),0.0164 (0.0042-0.0368),0.6398 (0.5946-0.6866)
