race,SEN12D,SEN12R,SEN12None
WVAP,0.1124 (0.0783-0.1494),0.2226 (0.2073-0.2324),0.665 (0.6289-0.6999)
OVAP,0.4905 (0.446-0.5342),0.0129 (0.0036-0.029),0.4966 (0.4527-0.5409)
