race,SEN18D,SEN18R,SEN18None
WVAP,0.0946 (0.0541-0.1445),0.2079 (0.1916-0.2185),0.6974 (0.6486-0.7388)
OVAP,0.4803 (0.4209-0.5325),0.0167 (0.0047-0.0374),0.503 (0.4507-0.5618)
