race,COMP14D,COMP14R,COMP14None
WVAP,0.0998 (0.0641-0.1376),0.245 (0.2254-0.2584),0.6553 (0.6144-0.6918)
OVAP,0.3361 (0.289-0.3818),0.018 (0.005-0.0386),0.6459 (0.5988-0.6943)
