race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0191 (0.0091-0.0312),0.0043 (0.0012-0.0092),0.9766 (0.9638-0.9873)
BVAP,0.0239 (0.0078-0.0464),0.0137 (0.0055-0.0243),0.9624 (0.9355-0.9815)
HVAP,0.1741 (0.0686-0.3028),0.1158 (0.0446-0.2107),0.7101 (0.569-0.8404)
OVAP,0.2117 (0.0744-0.3379),0.1657 (0.0814-0.2471),0.6227 (0.4708-0.7916)
