race,GOV18D,GOV18R,GOV18None
WVAP,0.032 (0.0137-0.0584),0.3398 (0.2957-0.3802),0.6282 (0.5819-0.6751)
OVAP,0.3748 (0.3436-0.3972),0.0639 (0.0255-0.109),0.5613 (0.5117-0.6091)
