race,AG14D,AG14R,AG14None
WVAP,0.0751 (0.0429-0.1127),0.2192 (0.1988-0.2369),0.7057 (0.6665-0.7426)
BVAP,0.3215 (0.2466-0.3918),0.0174 (0.0044-0.0387),0.6611 (0.5908-0.7357)
HVAP,0.3378 (0.1157-0.6019),0.1225 (0.0387-0.252),0.5398 (0.2693-0.7869)
OVAP,0.4514 (0.1775-0.7305),0.1045 (0.0313-0.2083),0.4441 (0.1645-0.7199)
