race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0276 (0.0179-0.0371),0.0055 (0.0017-0.0113),0.0346 (0.0245-0.0454),0.9323 (0.9181-0.9458)
BVAP,0.0184 (0.0072-0.0334),0.035 (0.0196-0.0534),0.017 (0.0041-0.0348),0.9297 (0.9036-0.9531)
HVAP,0.1049 (0.0327-0.1935),0.152 (0.0607-0.2743),0.1191 (0.0408-0.228),0.624 (0.4579-0.7726)
OVAP,0.1218 (0.0454-0.2185),0.1859 (0.0642-0.3034),0.1648 (0.055-0.2729),0.5276 (0.3551-0.7012)
