race,PRES16D,PRES16R,PRES16None
WVAP,0.0802 (0.0429-0.1224),0.2794 (0.258-0.293),0.6404 (0.5977-0.6777)
OVAP,0.4495 (0.4001-0.4973),0.0177 (0.0046-0.0406),0.5328 (0.4866-0.5831)
