race,PRES12D,PRES12R,PRES12None
WVAP,0.1381 (0.0983-0.179),0.3473 (0.3297-0.3594),0.5146 (0.4712-0.5563)
OVAP,0.563 (0.5124-0.6123),0.016 (0.0046-0.0345),0.421 (0.3703-0.4727)
