race,SEN16D,SEN16R,SEN16None
WVAP,0.0934 (0.0571-0.1357),0.2773 (0.2553-0.2919),0.6294 (0.5864-0.6687)
OVAP,0.4357 (0.3872-0.4812),0.0198 (0.0059-0.0415),0.5445 (0.4981-0.5942)
