race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0536 (0.0349-0.0745),0.0156 (0.0049-0.0308),0.9308 (0.9069-0.9526)
OVAP,0.0741 (0.0514-0.0968),0.1683 (0.1505-0.1825),0.7575 (0.7315-0.7847)
