race,COMP18D,COMP18R,COMP18None
WVAP,0.132 (0.0895-0.1784),0.1889 (0.1706-0.2005),0.6791 (0.6314-0.7238)
OVAP,0.4689 (0.4123-0.5231),0.0167 (0.0045-0.0393),0.5144 (0.4586-0.5724)
