race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0134 (0.006-0.0229),0.0041 (0.0016-0.0064),0.0058 (0.0023-0.01),0.0031 (0.0009-0.006),0.0138 (0.0054-0.024),0.9598 (0.9458-0.9724)
OVAP,0.0811 (0.0692-0.0914),0.0042 (0.0015-0.0076),0.0094 (0.0048-0.014),0.0047 (0.0017-0.0074),0.0749 (0.0626-0.0865),0.8256 (0.8094-0.8424)
