race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.55 (0.525-0.5775),0.45 (0.4225-0.475),0.6222 (0.5952-0.6515)
OVAP,0.8886 (0.7605-0.9678),0.1114 (0.0322-0.2395),0.4758 (0.3609-0.589)
