race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.4238 (0.37-0.4769),0.2869 (0.2498-0.3223),0.2893 (0.2489-0.3288),0.0669 (0.0601-0.0736)
OVAP,0.6571 (0.4777-0.8182),0.1566 (0.0563-0.2904),0.1862 (0.0689-0.3283),0.0936 (0.0632-0.1276)
