race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.825 (0.7742-0.8794),0.175 (0.1206-0.2258),0.1144 (0.1025-0.1262)
OVAP,0.4502 (0.2984-0.5984),0.5498 (0.4016-0.7016),0.197 (0.145-0.2555)
