race,AG18D,AG18R,AG18Turnout
WVAP,0.4581 (0.43-0.4863),0.5419 (0.5137-0.57),0.6329 (0.6066-0.6625)
OVAP,0.8931 (0.7762-0.9718),0.1069 (0.0282-0.2238),0.4725 (0.3575-0.5882)
