race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.4271 (0.4022-0.4536),0.5729 (0.5464-0.5978),0.6904 (0.6642-0.716)
OVAP,0.8952 (0.7754-0.969),0.1048 (0.031-0.2246),0.4814 (0.3794-0.5841)
