race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5331 (0.4865-0.5795),0.0895 (0.0565-0.1237),0.3774 (0.3326-0.4221),0.0681 (0.0616-0.0744)
OVAP,0.3417 (0.1745-0.5158),0.3076 (0.1687-0.4639),0.3507 (0.1935-0.5201),0.0863 (0.0582-0.1167)
