race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.3079 (0.2785-0.3361),0.6921 (0.6639-0.7215),0.4945 (0.4736-0.5142)
OVAP,0.8595 (0.7122-0.9578),0.1405 (0.0422-0.2878),0.2345 (0.1562-0.3214)
