race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.4166 (0.3906-0.4433),0.5834 (0.5567-0.6094),0.5615 (0.5386-0.586)
OVAP,0.9051 (0.8003-0.969),0.0949 (0.031-0.1997),0.424 (0.3224-0.5256)
