race,AG14D,AG14R,AG14Turnout
WVAP,0.3896 (0.36-0.416),0.6104 (0.584-0.64),0.4634 (0.442-0.4843)
OVAP,0.8652 (0.7116-0.9611),0.1348 (0.0389-0.2884),0.2251 (0.1426-0.3169)
