race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.5537 (0.5036-0.6081),0.056 (0.0347-0.0795),0.1524 (0.1162-0.1894),0.046 (0.0237-0.0703),0.192 (0.1504-0.2357),0.0696 (0.0627-0.0765)
OVAP,0.3653 (0.2613-0.4653),0.0927 (0.0447-0.1464),0.1931 (0.1236-0.2708),0.1261 (0.071-0.186),0.2228 (0.1416-0.3045),0.1716 (0.1388-0.2055)
