race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.4901 (0.462-0.5193),0.5099 (0.4807-0.538),0.6118 (0.5822-0.6424)
OVAP,0.897 (0.7774-0.9702),0.103 (0.0298-0.2226),0.4635 (0.3475-0.5879)
