race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.2387 (0.2092-0.2721),0.7613 (0.7279-0.7908),0.6414 (0.6178-0.6653)
OVAP,0.8524 (0.704-0.9545),0.1476 (0.0455-0.296),0.441 (0.3431-0.5408)
