race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9861 (0.9738-0.9942),0.0139 (0.0058-0.0262),0.048 (0.0418-0.0545)
OVAP,0.7975 (0.6741-0.8766),0.2025 (0.1234-0.3259),0.0663 (0.0399-0.0947)
