race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5678 (0.5465-0.5906),0.4322 (0.4094-0.4535),0.6121 (0.5868-0.6386)
BVAP,0.8385 (0.6638-0.9547),0.1615 (0.0453-0.3362),0.423 (0.2311-0.6474)
HVAP,0.7514 (0.5256-0.9173),0.2486 (0.0827-0.4744),0.3862 (0.1841-0.6254)
OVAP,0.7601 (0.5341-0.9164),0.2399 (0.0836-0.4659),0.69 (0.4564-0.8957)
