race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.4284 (0.4007-0.4577),0.5716 (0.5423-0.5993),0.6928 (0.6644-0.7228)
OVAP,0.8883 (0.7665-0.9657),0.1117 (0.0343-0.2335),0.5296 (0.4219-0.6379)
