race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4568 (0.4323-0.4796),0.5432 (0.5204-0.5677),0.5021 (0.4813-0.5214)
OVAP,0.8283 (0.646-0.9499),0.1717 (0.0501-0.354),0.196 (0.12-0.2793)
