race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.4254 (0.3965-0.4578),0.5746 (0.5422-0.6035),0.7019 (0.67-0.7356)
OVAP,0.8764 (0.7386-0.9638),0.1236 (0.0362-0.2614),0.5648 (0.4404-0.6813)
